lat,lon
50.67255023,57.8995146
37.18515383,49.5710127
40.16785897,65.48783842
65.70118096,53.70744175
67.89322512,72.2088847
49.43847638,60.13329265
58.06647192,45.98039061
50.29485282,57.89532423
61.67986958,53.7523824
53.12191968,44.30380193
48.56878329,71.79587188
64.44339563,72.34121009
52.68907277,59.90462738
71.14356251,64.18684323
59.10288838,38.79171443
45.03856899,54.99284564
68.54027566,60.95255899
48.7969413,49.35500841
61.01762806,32.65398086
44.63345937,62.22956847
38.6611207,70.1226778
76.65057728,56.45854644
48.33896684,61.76885583
55.9268358,62.13725152
40.39910398,73.33450175
50.28689891,64.25310666
62.3595836,47.51345271
53.21394099,35.34303303
59.91593397,50.67255023
42.04377517,37.18515383
58.05479417,40.16785897
63.48889653,58.81808254
51.23252069,55.81605729
62.95156448,38.10441514
52.81900291,41.11639224
57.73151264,32.65398086
54.83478939,62.22956847
50.11270705,70.1226778
44.23219156,58.81808254
81.44384695,55.81605729
47.28369503,51.11099113
54.64248512,51.65878756
43.42660773,38.10441514
66.68018031,41.11639224
48.54975725,70.1226778
46.58675852,56.45854644
72.13579504,43.96212428
53.4781976,46.67264125
41.03726541,63.11195448
46.1713089,37.7816056
53.57533446,49.55093948
51.51577513,62.3721853
39.05641135,59.80211283
62.67533655,38.10441514
45.94566525,41.11639224
54.02829833,66.77664105
56.56454434,68.90430325
51.24862975,50.44552879
62.02328797,59.12767035
44.75516822,51.25245518
73.79233776,62.69343205
52.8600435,54.04835531
56.37213158,49.5710127
43.34182637,62.13725152
70.74285814,40.36673327
71.2723593,50.52326181
31.63171338,63.35856718
61.21712006,60.84219361
69.05517152,57.8995146
55.34761337,59.08101003
42.94569609,64.49426301
45.62780371,52.16185718
41.95389194,63.97862217
56.00220233,53.83656695
42.10647121,58.81808254
48.90087275,53.83656695
72.45064118,58.81808254
49.21182343,55.81605729
53.86108211,46.1713089
63.2057207,53.57533446
46.48815675,51.51577513
34.31280514,39.05641135
45.36478471,62.67533655
60.74774115,57.35714955
61.13843775,44.30380193
72.26316103,71.79587188
46.57847179,62.69343205
56.77098715,54.04835531
52.74204597,49.5710127
58.86157235,65.48783842
63.11195448,53.70744175
37.7816056,72.2088847
54.04265504,60.13329265
59.93020498,40.36673327
48.33861916,57.56796943
39.33079094,52.27273387
49.55093948,63.07791594
62.3721853,45.73088167
59.80211283,74.82627401
56.86722017,53.87783672
